,Image,Category,Activity,Train
0,053686627.jpg,,,0.0
1,095071431.jpg,transportation,,0.0
2,073199394.jpg,,pushing car,0.0
3,059865848.jpg,,,0.0
4,015601864.jpg,sports,curling,1.0
5,015599452.jpg,sports,curling,1.0
6,005808361.jpg,sports,curling,1.0
7,086617615.jpg,sports,curling,1.0
8,060111501.jpg,sports,curling,1.0
9,070807258.jpg,sports,curling,1.0
10,002058449.jpg,sports,curling,1.0
11,096990985.jpg,,,0.0
12,083244264.jpg,,,0.0
13,021233911.jpg,inactivity quiet/light,sitting quietly,1.0
14,018182497.jpg,inactivity quiet/light,sitting quietly,1.0
15,018340451.jpg,miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",1.0
16,030424224.jpg,miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",1.0
17,052475643.jpg,miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",1.0
18,043194502.jpg,miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",1.0
19,029122914.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
20,061185289.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
21,013949386.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
22,029214465.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
23,036636184.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
24,045606998.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
25,078517596.jpg,,,0.0
26,019967378.jpg,,,0.0
27,051423444.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
28,059241457.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
29,004645041.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
30,060754485.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
31,017052412.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
32,006505159.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
33,094888554.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
